food_id,food_name_original,food_name_normalized,source,source_url,category_original,category_normalized,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,edible_portion_percent,unit_basis,scraped_at,cleaned_at,missing_nutrient_count,completeness_score,notes
tkpi_0012,"Beras tumbuk, mentah (Rice with husk, raw)","beras tumbuk, mentah (rice with husk, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.5,354.0,7.8,0.4,79.9,3.8,0.4,3.0,112.0,0.6,5.0,85.0,0.5,1.5,0.0,0.0,,,0.25,0.22,5.1,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0013,"Beras tumbuk merah, mentah (Rice, brown with husk, raw)","beras tumbuk merah, mentah (rice, brown with husk, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,14.6,352.0,7.3,0.9,76.2,0.8,1.0,15.0,257.0,4.2,10.0,202.0,0.36,1.9,0.0,0.0,0.0,,0.34,0.0,3.3,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0014,"Cantel, mentah (Sorghum, raw)","cantel, mentah (sorghum, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.0,366.0,11.0,3.3,73.0,1.2,1.7,28.0,287.0,4.4,7.0,249.0,,,0.0,0.0,,,0.09,0.14,2.8,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,5,0.7826,
tkpi_0015,"Jagung muda, kuning, mentah (Corn,baby, yellow, raw)","jagung muda, kuning, mentah (corn,baby, yellow, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,61.8,147.0,5.1,0.7,31.5,1.3,0.9,6.0,122.0,1.1,5.0,33.6,0.13,0.9,0.0,113.0,261.0,,0.24,0.1,0.8,9.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0016,"Jagung kuning pipil, kering, mentah (Corn, yellow, raw)","jagung kuning pipil, kering, mentah (corn, yellow, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.5,366.0,9.8,7.3,69.1,2.2,2.4,30.0,538.0,2.3,5.0,79.4,0.1,4.1,,636.0,641.0,,0.12,0.12,1.8,3.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0017,"Jagung pipil var. harapan, kering (Corn, dried, raw)","jagung pipil var. harapan, kering (corn, dried, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.3,367.0,6.2,5.1,76.2,2.6,1.2,7.0,354.0,2.8,1.0,79.6,0.1,4.1,,637.0,385.0,,0.19,0.08,1.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0018,"Jagung pipil var. metro, kering (Corn, dried, raw)","jagung pipil var. metro, kering (corn, dried, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,10.6,368.0,5.5,4.6,78.0,2.9,1.3,7.0,300.0,2.4,1.0,80.2,0.1,4.1,,642.0,554.0,,0.16,0.08,1.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0019,"Jali, mentah (Job's tear/adlay, raw)","jali, mentah (jobs tear/adlay, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,23.0,324.0,11.0,4.0,61.0,3.1,1.0,213.0,176.0,11.0,24.0,,0.1,0.4,,,,,0.14,0.08,1.8,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,6,0.7391,
tkpi_0020,"Jawawut, mentah (Italian millet, raw)","jawawut, mentah (italian millet, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.9,364.0,9.7,3.5,73.4,8.2,1.5,28.0,311.0,5.3,7.0,255.1,0.45,1.5,,33.0,,,0.33,0.28,4.5,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,5,0.7826,
tkpi_0021,"Jampang huma, mentah (Ragi millet, raw)","jampang huma, mentah (ragi millet, raw)",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.7,350.0,6.2,1.4,78.2,1.7,2.5,329.0,254.0,5.3,53.0,396.7,0.7,1.6,,33.0,,,0.51,0.3,0.7,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,4,0.8261,
