source_food_id,source_food_name,source_category,usda_fdc_id,usda_food_name,usda_category,similarity_score,confidence
tkpi_1134,bekasam (tiny shrimp fermented),bumbu,171159,"Soup, cream of shrimp, canned, condensed","Soups, Sauces, and Gravies",0.3096,LOW
tkpi_0981,"ikan sunu, asin, mentah (coral trout)",ikan/kerang/udang dll,175153,"Fish, trout, mixed species, raw",Finfish and Shellfish Products,0.3087,LOW
tkpi_0290,"lamtoro biji, muda, segar (white leadtree, inmature, fresh)",kacang-kacangan,175204,"Beans, white, mature seeds, canned",Legumes and Legume Products,0.308,LOW
tkpi_1047,"telur penyu, segar (turtle, egg)",telur,172188,"Egg, whole, dried",Dairy and Egg Products,0.3063,LOW
tkpi_1070,"susu skim, bubuk",susu,170887,"Yogurt, plain, skim milk",Dairy and Egg Products,0.3058,LOW
tkpi_0869,"ikan batung, segar (indonesian-shortfin eel)",ikan/kerang/udang dll,174193,"Fish, eel, mixed species, raw",Finfish and Shellfish Products,0.3037,LOW
tkpi_0288,"koro roay, kering (lima bean, dried)",kacang-kacangan,174254,"Lima beans, large, mature seeds, canned",Legumes and Legume Products,0.3024,LOW
tkpi_0459,"daun tespong, segar (water dropwort, fresh)",sayuran,169301,"Water convolvulus,raw",Vegetables and Vegetable Products,0.3003,LOW
tkpi_1141,"saos tomat (tomato, sauce)",bumbu,172882,"Soup, tomato, canned, condensed","Soups, Sauces, and Gravies",0.3001,LOW
tkpi_1122,"cabai merah, segar (chili papper)",bumbu,171150,"Soup, chili beef, canned, condensed","Soups, Sauces, and Gravies",0.2987,LOW
tkpi_1121,"cabai merah, kering (chili papper)",bumbu,171150,"Soup, chili beef, canned, condensed","Soups, Sauces, and Gravies",0.2987,LOW
tkpi_0672,"mangga muda, segar (mango, unripe, fresh)",buah,169091,"Mango, dried, sweetened",Fruits and Fruit Juices,0.2986,LOW
tkpi_0424,"daun kol sawi, segar (indian mustard, fresh)",sayuran,169256,"Mustard greens, raw",Vegetables and Vegetable Products,0.2974,LOW
tkpi_1074,"kelapa tua, daging, segar (coconut, flesh, old, fresh)",minyak/lemak,171412,"Oil, coconut",Fats and Oils,0.2974,LOW
tkpi_0742,"ayam, daging, segar (chicken, meat, fresh)",daging,171067,"Chicken, broilers or fryers, dark meat, meat only, raw",Poultry Products,0.2963,LOW
tkpi_0141,"bentul (komba), talas, segar (taro, bentul, fresh)",umbi berpati,169308,"Taro, raw",Vegetables and Vegetable Products,0.2953,LOW
tkpi_0679,"nanas, segar (pineapple, fresh)",buah,169126,"Pineapple, canned, juice pack, solids and liquids",Fruits and Fruit Juices,0.2947,LOW
tkpi_0522,rumput laut (seaweed),sayuran,170090,"Seaweed, agar, dried",Vegetables and Vegetable Products,0.2931,LOW
tkpi_0006,"beras jagung putih, kering, mentah (corn, white, died, crushed, raw)",serealia,168920,"Corn grain, white",Cereal Grains and Pasta,0.2931,LOW
