food_id,food_name_original,food_name_normalized,source,source_url,category_original,category_normalized,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,edible_portion_percent,unit_basis,scraped_at,cleaned_at,missing_nutrient_count,completeness_score,notes,name_norm,magnesium_mg,magnesium_mg_source,magnesium_mg_confidence,sugars_total_g,sugars_total_g_source,sugars_total_g_confidence,saturated_fat_g,saturated_fat_g_source,saturated_fat_g_confidence,cholesterol_mg,cholesterol_mg_source,cholesterol_mg_confidence,vitamin_b6_mg,vitamin_b6_mg_source,vitamin_b6_mg_confidence,vitamin_b12_mcg,vitamin_b12_mcg_source,vitamin_b12_mcg_confidence
myfcd_0011,"Bun, red beans (Ban kacang merah)","bun, red beans (ban kacang merah)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101102/0/20/0/0/0,Cereals and grain products,cereals and grain products,28.0333,288.5215022551474,7.9333,5.8333,52.4,4.7,1.1,79.9667,70.6333,1.0667,169.1333,130.2,0.0001,0.9333,0.03166012657343369,0.0411844612781567,,,0.19775861293995867,0.0510106413377385,12.651095146402499,2.9,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,9,0.6087,,bun red beans ban kacang merah,70.20994475138122,USDA_category_mean,0.2148,0.9388429752066116,USDA_category_mean,0.2148,0.4235747126436781,USDA_category_mean,0.2148,3.9820359281437128,USDA_category_mean,0.2148,0.2239111111111111,USDA_category_mean,0.2148,0.0151219512195121,USDA_category_mean,0.2148
myfcd_0012,"COOKIES, PEANUT","cookies, peanut",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101109/0/20/0/0/0,Cereals and grain products,cereals and grain products,1.2733,508.4933,11.6133,26.1867,56.59,2.9,1.4367,164.94265657499076,344.8499377253692,3.241948850093391,1181.1095629962363,405.1400861553003,1.1460125290256884,14.653873702561064,0.011888045851018297,-0.0007207712856391185,,,1.3551640343361382,0.16726708955039613,10.871751937953917,1.0304605078365165,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cookies peanut,39.0,USDA_direct_medium,0.6019,,USDA_direct_medium,0.6019,4.438,USDA_direct_medium,0.6019,31.0,USDA_direct_medium,0.6019,0.084,USDA_direct_medium,0.6019,0.09,USDA_direct_medium,0.6019
myfcd_0013,"MUFFIN, CHOCOLATE","muffin, chocolate",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101112/0/20/0/0/0,Cereals and grain products,cereals and grain products,10.92,441.7217,7.5017,19.4483,59.17,3.8967,1.0117,52.1667,85.6667,1.047834294494157,322.3333,144.3333,-0.132220609225538,-1.7391330031030456,0.0,0.0,,,1.3804333060000826,0.07453558701795225,8.465696133297834,1.7898992809904706,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,10,0.5652,"{""dg"":"""",""dc"":""""}",muffin chocolate,,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473,1.865,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473
myfcd_0014,"MUFFIN, VANILLA","muffin, vanilla",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101113/0/20/0/0/0,Cereals and grain products,cereals and grain products,40.87243088362348,248.75404388909445,5.226163582448894,13.338595137182025,23.39025688190462,4.472092192263631,1.2647179212302837,110.40072905415582,452.0480585984748,4.269099113061005,1451.5288649188647,483.72406690634136,2.2487519482854026,29.34051275123124,0.029709108648079706,0.04995467723649612,,,-0.1712985008764778,0.14908586961627912,11.12634237585226,3.3685746638169496,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,23,0.0,"{""dg"":"""",""dc"":""""}",muffin vanilla,32.0977130977131,USDA_category_mean,0.3998,16.40905511811024,USDA_category_mean,0.3998,3.470831349206349,USDA_category_mean,0.3998,14.496688741721854,USDA_category_mean,0.3998,0.1068706896551724,USDA_category_mean,0.3998,0.1430875576036866,USDA_category_mean,0.3998
myfcd_0015,"CEREAL, BREAKFAST, BRAN FLAKES","cereal, breakfast, bran flakes",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101115/0/20/0/0/0,Cereals and grain products,cereals and grain products,4.175,263.45,14.595,1.59,47.69,27.52,4.43,135.3943446289595,524.976164692042,4.437729700171053,1142.2507090414708,675.0619836527476,2.017970300229563,28.483868067447506,0.04270756622533676,0.03693416600146605,,,2.551135705026762,0.0542793468271055,57.464885750077116,3.0822591034595543,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cereal breakfast bran flakes,32.0977130977131,USDA_category_mean,0.2895,16.40905511811024,USDA_category_mean,0.2895,3.470831349206349,USDA_category_mean,0.2895,14.496688741721854,USDA_category_mean,0.2895,0.1068706896551724,USDA_category_mean,0.2895,0.1430875576036866,USDA_category_mean,0.2895
myfcd_0016,"CEREAL, BREAKFAST, CHOCOLATE FLAVOURED","cereal, breakfast, chocolate flavoured",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101116/0/20/0/0/0,Cereals and grain products,cereals and grain products,2.6033,359.31,6.3767,0.35,82.6633,5.5633,2.4433,130.27993099288068,530.7293025006622,5.298707508842267,1596.4421386651227,336.5879824528862,2.8683401774860458,38.47603081801936,0.04011972745055052,0.03228548668088321,,,0.6703186219724371,0.07464466636246639,12.550807662207411,2.301591811230412,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cereal breakfast chocolate flavoured,38.0,USDA_direct_medium,0.4369,40.32,USDA_direct_medium,0.4369,11.29,USDA_direct_medium,0.4369,0.0,USDA_direct_medium,0.4369,0.328,USDA_direct_medium,0.4369,0.07,USDA_direct_medium,0.4369
myfcd_0017,"CEREAL, BREAKFAST, GRANOLA","cereal, breakfast, granola",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101117/0/20/0/0/0,Cereals and grain products,cereals and grain products,3.64,436.9133,9.44,18.1533,58.9433,8.4767,1.3467,148.9555102457916,400.59794085671143,3.7742291729720714,1262.9014216416986,438.73519807746993,1.6462771005318926,21.50807783719111,0.023968770058610124,0.013010674664485702,,,1.4358912933695196,0.13832683191693257,19.690860450588964,1.648767801068217,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cereal breakfast granola,32.0977130977131,USDA_category_mean,0.3386,16.40905511811024,USDA_category_mean,0.3386,3.470831349206349,USDA_category_mean,0.3386,14.496688741721854,USDA_category_mean,0.3386,0.1068706896551724,USDA_category_mean,0.3386,0.1430875576036866,USDA_category_mean,0.3386
myfcd_0018,"CEREAL, BREAKFAST, MULTICOLOURED, SUGAR-FILLED RING SHAPED","cereal, breakfast, multicoloured, sugar-filled ring shaped",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101118/0/20/0/0/0,Cereals and grain products,cereals and grain products,3.4233,366.3533,7.21,1.0733,81.9633,4.3767,1.9533,133.75136100960876,526.6010344215288,5.235480138000631,1574.9819107059857,330.3561865091193,2.8100165295928257,37.52372283407187,0.03733693937456256,0.03069392845712344,,,0.6726609882841856,0.07665494048322691,10.70048851057551,2.2392234051094904,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cereal breakfast multicoloured sugar filled ring shaped,32.0977130977131,USDA_category_mean,0.2272,16.40905511811024,USDA_category_mean,0.2272,3.470831349206349,USDA_category_mean,0.2272,14.496688741721854,USDA_category_mean,0.2272,0.1068706896551724,USDA_category_mean,0.2272,0.1430875576036866,USDA_category_mean,0.2272
myfcd_0019,"CEREAL, BREAKFAST, OAT/MULTIGRAIN","cereal, breakfast, oat/multigrain",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101119/0/20/0/0/0,Cereals and grain products,cereals and grain products,40.87243088362348,248.75404388909445,5.226163582448894,13.338595137182025,23.39025688190462,4.472092192263631,1.2647179212302837,110.40072905415582,452.0480585984748,4.269099113061005,1451.5288649188647,483.72406690634136,2.2487519482854026,29.34051275123124,0.029709108648079706,0.04995467723649612,,,-0.1712985008764778,0.14908586961627912,11.12634237585226,3.3685746638169496,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,23,0.0,"{""dg"":"""",""dc"":""""}",cereal breakfast oat multigrain,29.0,USDA_direct_medium,0.4527,12.0,USDA_direct_medium,0.4527,3.3,USDA_direct_medium,0.4527,0.0,USDA_direct_medium,0.4527,0.117,USDA_direct_medium,0.4527,0.0,USDA_direct_medium,0.4527
myfcd_0020,"COOKIES/CRACKERS, SANDWICH WITH FLAVOURED CREAM OREO","cookies/crackers, sandwich with flavoured cream oreo",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101121/0/20/0/0/0,Cereals and grain products,cereals and grain products,1.3833,462.88,5.7867,18.4267,68.4733,3.9567,1.9733,143.16634856207367,395.92087270773146,3.998305565341425,1411.9801941020528,356.0277561956649,1.8722158230593053,24.507740998135752,0.026556724717559765,0.012257984984957615,,,0.8916773833848226,0.14790625671943267,9.674413025358767,1.4429997334430062,,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.3043,"{""dg"":"""",""dc"":""""}",cookies crackers sandwich flavoured cream oreo,32.0977130977131,USDA_category_mean,0.3799,16.40905511811024,USDA_category_mean,0.3799,3.470831349206349,USDA_category_mean,0.3799,14.496688741721854,USDA_category_mean,0.3799,0.1068706896551724,USDA_category_mean,0.3799,0.1430875576036866,USDA_category_mean,0.3799
