food_id,food_name_original,food_name_normalized,source,source_url,category_original,category_normalized,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,unit_basis,scraped_at,cleaned_at,missing_nutrient_count,completeness_score,notes,name_norm,magnesium_mg,magnesium_mg_source,magnesium_mg_confidence,sugars_total_g,sugars_total_g_source,sugars_total_g_confidence,saturated_fat_g,saturated_fat_g_source,saturated_fat_g_confidence,cholesterol_mg,cholesterol_mg_source,cholesterol_mg_confidence,vitamin_b6_mg,vitamin_b6_mg_source,vitamin_b6_mg_confidence,vitamin_b12_mcg,vitamin_b12_mcg_source,vitamin_b12_mcg_confidence
myfcd_0011,"Bun, red beans (Ban kacang merah)","bun, red beans (ban kacang merah)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101102/0/20/0/0/0,Cereals and grain products,cereals and grain products,28.0333,222.3533,7.9333,5.8333,52.4,4.7,1.1,79.9667,70.6333,1.0667,169.1333,130.2,0.0001,0.9333,0.0,0.0,,,0.0717,0.09085,0.33665,2.9,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,8,0.6364,,bun red beans ban kacang merah,70.20994475138122,USDA_category_mean,0.2148,0.9388429752066116,USDA_category_mean,0.2148,0.4235747126436781,USDA_category_mean,0.2148,3.9820359281437128,USDA_category_mean,0.2148,0.2239111111111111,USDA_category_mean,0.2148,0.0151219512195121,USDA_category_mean,0.2148
myfcd_0012,"COOKIES, PEANUT","cookies, peanut",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101109/0/20/0/0/0,Cereals and grain products,cereals and grain products,1.2733,508.4933,11.6133,26.1867,56.59,2.9,1.4367,11.9,64.44,0.53325,42.137100000000004,112.5,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,15,0.3182,"{""dg"":"""",""dc"":""""}",cookies peanut,39.0,USDA_direct_medium,0.6019,,USDA_direct_medium,0.6019,4.438,USDA_direct_medium,0.6019,31.0,USDA_direct_medium,0.6019,0.084,USDA_direct_medium,0.6019,0.09,USDA_direct_medium,0.6019
myfcd_0013,"MUFFIN, CHOCOLATE","muffin, chocolate",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101112/0/20/0/0/0,Cereals and grain products,cereals and grain products,10.92,441.7217,7.5017,19.4483,59.17,3.8967,1.0117,52.1667,85.6667,0.53325,322.3333,144.3333,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,9,0.5909,"{""dg"":"""",""dc"":""""}",muffin chocolate,,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473,1.865,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473,,USDA_direct_medium,0.4473
myfcd_0014,"MUFFIN, VANILLA","muffin, vanilla",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101113/0/20/0/0/0,Cereals and grain products,cereals and grain products,38.105000000000004,222.3533,3.4000000000000004,5.3633,29.9633,3.0944,0.9833,11.9,64.44,0.53325,42.137100000000004,112.5,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,22,0.0,"{""dg"":"""",""dc"":""""}",muffin vanilla,32.0977130977131,USDA_category_mean,0.3998,16.40905511811024,USDA_category_mean,0.3998,3.470831349206349,USDA_category_mean,0.3998,14.496688741721854,USDA_category_mean,0.3998,0.1068706896551724,USDA_category_mean,0.3998,0.1430875576036866,USDA_category_mean,0.3998
myfcd_0015,"CEREAL, BREAKFAST, BRAN FLAKES","cereal, breakfast, bran flakes",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101115/0/20/0/0/0,Cereals and grain products,cereals and grain products,4.175,263.45,14.595,1.59,47.69,27.52,4.43,11.9,64.44,0.53325,42.137100000000004,112.5,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,15,0.3182,"{""dg"":"""",""dc"":""""}",cereal breakfast bran flakes,32.0977130977131,USDA_category_mean,0.2895,16.40905511811024,USDA_category_mean,0.2895,3.470831349206349,USDA_category_mean,0.2895,14.496688741721854,USDA_category_mean,0.2895,0.1068706896551724,USDA_category_mean,0.2895,0.1430875576036866,USDA_category_mean,0.2895
myfcd_0016,"CEREAL, BREAKFAST, CHOCOLATE FLAVOURED","cereal, breakfast, chocolate flavoured",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101116/0/20/0/0/0,Cereals and grain products,cereals and grain products,2.6033,359.31,6.3767,0.35,82.6633,5.5633,2.4433,11.9,64.44,0.53325,42.137100000000004,112.5,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,15,0.3182,"{""dg"":"""",""dc"":""""}",cereal breakfast chocolate flavoured,38.0,USDA_direct_medium,0.4369,40.32,USDA_direct_medium,0.4369,11.29,USDA_direct_medium,0.4369,0.0,USDA_direct_medium,0.4369,0.328,USDA_direct_medium,0.4369,0.07,USDA_direct_medium,0.4369
myfcd_0017,"CEREAL, BREAKFAST, GRANOLA","cereal, breakfast, granola",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101117/0/20/0/0/0,Cereals and grain products,cereals and grain products,3.64,436.9133,9.44,18.1533,58.9433,8.4767,1.3467,11.9,64.44,0.53325,42.137100000000004,112.5,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,15,0.3182,"{""dg"":"""",""dc"":""""}",cereal breakfast granola,32.0977130977131,USDA_category_mean,0.3386,16.40905511811024,USDA_category_mean,0.3386,3.470831349206349,USDA_category_mean,0.3386,14.496688741721854,USDA_category_mean,0.3386,0.1068706896551724,USDA_category_mean,0.3386,0.1430875576036866,USDA_category_mean,0.3386
myfcd_0018,"CEREAL, BREAKFAST, MULTICOLOURED, SUGAR-FILLED RING SHAPED","cereal, breakfast, multicoloured, sugar-filled ring shaped",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101118/0/20/0/0/0,Cereals and grain products,cereals and grain products,3.4233,366.3533,7.21,1.0733,81.9633,4.3767,1.9533,11.9,64.44,0.53325,42.137100000000004,112.5,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,15,0.3182,"{""dg"":"""",""dc"":""""}",cereal breakfast multicoloured sugar filled ring shaped,32.0977130977131,USDA_category_mean,0.2272,16.40905511811024,USDA_category_mean,0.2272,3.470831349206349,USDA_category_mean,0.2272,14.496688741721854,USDA_category_mean,0.2272,0.1068706896551724,USDA_category_mean,0.2272,0.1430875576036866,USDA_category_mean,0.2272
myfcd_0019,"CEREAL, BREAKFAST, OAT/MULTIGRAIN","cereal, breakfast, oat/multigrain",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101119/0/20/0/0/0,Cereals and grain products,cereals and grain products,38.105000000000004,222.3533,3.4000000000000004,5.3633,29.9633,3.0944,0.9833,11.9,64.44,0.53325,42.137100000000004,112.5,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,22,0.0,"{""dg"":"""",""dc"":""""}",cereal breakfast oat multigrain,29.0,USDA_direct_medium,0.4527,12.0,USDA_direct_medium,0.4527,3.3,USDA_direct_medium,0.4527,0.0,USDA_direct_medium,0.4527,0.117,USDA_direct_medium,0.4527,0.0,USDA_direct_medium,0.4527
myfcd_0020,"COOKIES/CRACKERS, SANDWICH WITH FLAVOURED CREAM OREO","cookies/crackers, sandwich with flavoured cream oreo",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R101121/0/20/0/0/0,Cereals and grain products,cereals and grain products,1.3833,462.88,5.7867,18.4267,68.4733,3.9567,1.9733,11.9,64.44,0.53325,42.137100000000004,112.5,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,15,0.3182,"{""dg"":"""",""dc"":""""}",cookies crackers sandwich flavoured cream oreo,32.0977130977131,USDA_category_mean,0.3799,16.40905511811024,USDA_category_mean,0.3799,3.470831349206349,USDA_category_mean,0.3799,14.496688741721854,USDA_category_mean,0.3799,0.1068706896551724,USDA_category_mean,0.3799,0.1430875576036866,USDA_category_mean,0.3799
myfcd_0021,Breadfruits chips (Kerepek sukun),breadfruits chips (kerepek sukun),MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102002/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",1.015,222.3533,2.19,40.5425,29.9633,8.2625,2.1875,72.0,51.25,0.53325,309.0,901.0,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,13,0.4091,,breadfruits chips kerepek sukun,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,
myfcd_0022,"Flour, sago (Tepung sagu)","flour, sago (tepung sagu)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102004/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",10.5633,222.3533,0.2017,0.0983,29.9633,2.3917,0.115,3.1667,10.6667,1.28,7.0,12.5,0.0002,0.31,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,10,0.5455,,flour sago tepung sagu,31.708955223880597,USDA_category_mean,0.3963,3.343490054249548,USDA_category_mean,0.3963,0.2398865153538051,USDA_category_mean,0.3963,0.7215980024968789,USDA_category_mean,0.3963,0.175552070263488,USDA_category_mean,0.3963,0.0075409836065573,USDA_category_mean,0.3963
myfcd_0023,"Potato chips, spicy (Keropok ubi kentang berperisa rempah pedas)","potato chips, spicy (keropok ubi kentang berperisa rempah pedas)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102007/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",2.62,222.3533,6.052,26.45,29.9633,6.276,3.348,1.6,141.0,1.466,662.6,742.6,0.0007,0.692,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,10,0.5455,,potato chips spicy keropok ubi kentang berperisa rempah pedas,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,
myfcd_0024,"Sweet potato, red, chips (Kerepek ubi keledek)","sweet potato, red, chips (kerepek ubi keledek)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102012/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",2.2425,222.3533,3.815,19.1625,29.9633,5.375,2.3125,55.6667,112.25,0.53325,178.6667,606.0,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,13,0.4091,,sweet potato red chips kerepek ubi keledek,31.708955223880597,USDA_category_mean,0.3825,3.343490054249548,USDA_category_mean,0.3825,0.2398865153538051,USDA_category_mean,0.3825,0.7215980024968789,USDA_category_mean,0.3825,0.175552070263488,USDA_category_mean,0.3825,0.0075409836065573,USDA_category_mean,0.3825
myfcd_0025,"TAPIOCA CHIPS, BARBEQUE (KEREPEK UBI KAYU PERISA BARBEQUE)","tapioca chips, barbeque (kerepek ubi kayu perisa barbeque)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102015/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",1.348,222.3533,1.758,21.79,29.9633,7.03,2.542,46.8,78.8,0.53325,486.0,454.2,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,13,0.4091,"{""dg"":"""",""dc"":""""}",tapioca chips barbeque kerepek ubi kayu perisa barbeque,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,
myfcd_0026,"TAPIOCA CHIPS, BLACK PEPPER (KEREPEK UBI KAYU PERISA LADA HITAM)","tapioca chips, black pepper (kerepek ubi kayu perisa lada hitam)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102016/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",0.9967,222.3533,0.8667,24.5667,29.9633,6.72,2.23,46.3333,80.6667,0.53325,410.6667,516.6667,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,13,0.4091,"{""dg"":"""",""dc"":""""}",tapioca chips black pepper kerepek ubi kayu perisa lada hitam,31.708955223880597,USDA_category_mean,0.227,3.343490054249548,USDA_category_mean,0.227,0.2398865153538051,USDA_category_mean,0.227,0.7215980024968789,USDA_category_mean,0.227,0.175552070263488,USDA_category_mean,0.227,0.0075409836065573,USDA_category_mean,0.227
myfcd_0027,"TAPIOCA CHIPS, PLAIN, SALTED (KEREPEK UBI KAYU, BERGARAM)","tapioca chips, plain, salted (kerepek ubi kayu, bergaram)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102017/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",1.09,222.3533,1.95,23.2333,29.9633,5.765,2.4467,11.9,84.6667,0.53325,42.137100000000004,112.5,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,16,0.2727,"{""dg"":"""",""dc"":""""}",tapioca chips plain kerepek ubi kayu bergaram,31.708955223880597,USDA_category_mean,0.2155,3.343490054249548,USDA_category_mean,0.2155,0.2398865153538051,USDA_category_mean,0.2155,0.7215980024968789,USDA_category_mean,0.2155,0.175552070263488,USDA_category_mean,0.2155,0.0075409836065573,USDA_category_mean,0.2155
myfcd_0028,"TAPIOCA CHIPS, PLAIN, UNSALTED (KEREPEK UBI KAYU, TANPA GARAM)","tapioca chips, plain, unsalted (kerepek ubi kayu, tanpa garam)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102018/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",1.3633,222.3533,1.3,26.85,29.9633,6.0433,1.77,71.2,87.1667,0.53325,384.2,591.8,0.0001,0.44,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,13,0.4091,"{""dg"":"""",""dc"":""""}",tapioca chips plain unsalted kerepek ubi kayu tanpa garam,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,
myfcd_0029,"TAPIOCA CHIPS, SPICY (KEREPEK UBI KAYU PEDAS)","tapioca chips, spicy (kerepek ubi kayu pedas)",MyFCD,https://myfcd.moh.gov.my/myfcdcurrent/index.php/site/detail_product/R102019/0/20/0/0/0,"Starchy roots, tubers and products","starchy roots, tubers and products",0.78,222.3533,1.2433,21.425,29.9633,6.3783,2.0717,1.8333,63.5,1.286,403.2,355.5,0.0019,0.584,0.0,0.0,,,0.0717,0.09085,0.33665,2.575,per 100g,2026-07-01T04:14:10.551444Z,2026-07-01T04:14:10.551444Z,10,0.5455,"{""dg"":"""",""dc"":""""}",tapioca chips spicy kerepek ubi kayu pedas,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,,,not_matched,
