kode_pangan,food_name_original,category_original,tipe_bahan,source,source_url,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,notes
BP049,Mi golosor,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,82.9,71,0.2,0.8,15.9,0.1,0.2,117,5,0.2,,,,,0,,112,0.05,0.02,0.0,0,"Mie sagu, dibuat seperti mie goreng dengan sambal kacang"
BP050,Mie Bendo,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,11.5,353,0.3,0.0,88.0,2.4,0.2,28,14,2.8,9,49.2,0.50,0.1,,2,0,0.02,0.00,0.1,0,Mie berbahan dasar singkong dan gaplek
BP051,Mie Sagu,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,52.8,190,0.2,0.4,46.5,1.4,0.1,8,7,0.3,10,2.6,0.10,0.0,,2,0,0.00,0.40,0.0,0,Mie berbahan dasar sagu
BP052,Ongol-ongol sagu,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,75.3,111,0.3,2.7,21.2,0.3,0.5,79,15,1.7,,,,,0,,0,0.06,,,0,Kue basah  berbahan dasar sagu direbus dengan gula merah dan ditaburi kelapa parut kukus
BP053,Oyek,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,12.6,351,0.9,0.9,84.9,4.3,0.7,60,36,2.1,5,229.0,0.10,0.5,,0,0,0.02,0.02,0.5,0,Seperti beras yang berasal dari gaplek (singkong yang dijemur)
BP054,Papeda,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,84.8,61,0.2,0.1,14.9,0.5,0.1,3,1,0.2,4,20.0,0.10,0.1,0,0,0,0.06,0.00,0.0,0,"Tepung sagu, dibubur"
BP055,Rasbi (Beras Ubi),Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,11.1,394,2.2,8.8,76.6,6.8,1.3,68,76,1.6,165,388.0,0.40,0.4,,0,0,0.02,0.30,1.2,0,Bahan dasar ubi jalar
BP056,Rasi (Beras Singkong),Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,12.6,350,0.9,0.4,85.7,14.4,0.5,42,21,1.5,8,14.0,0.30,0.5,,0,0,0.02,0.02,0.4,0,Bahan dasar singkong/ubi kayu
BP057,Sagu forno,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,31.5,291,0.5,4.0,63.4,,0.6,10,20,0.8,40,50.0,0.10,0.2,0,0,0,,,,0,"Kue kering. Nama lain sagu forna (nama balok cetakan) atau sagu lempeng (bentuk lempengan). Tepung sagu dihaluskan, dimasukkan ke dalam cetakan, dibakar, bagian tengah dilubangi diberi gula merah"
BP058,Sagu Lemak (Kue Sagon),Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,4.3,452,2.8,14.8,76.8,1.1,0.7,15,39,1.1,182,52.7,0.04,0.8,,"1,220",0,0.32,0.04,0.1,0,"Bahan dasar terdiri dari Sagu, Kelapa, Telur"
BP059,Sagu manis,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,32.6,287,0.5,3.9,62.4,,0.6,8,17,0.7,34,42.0,0.10,0.2,0,0,0,,,,0,Sagu dipanggang + kelapa parut + gula (seperti kue bandros)
BP060,Sagu Rendang,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,8.2,364,0.1,0.2,90.5,1.9,1.0,13,9,3.9,42,15.1,0.10,0.1,,0,0,0.02,0.60,0.8,0,Suatu produk sagu
BP061,Sagu sinole,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,22.0,354,0.8,8.3,68.9,,0.1,10,30,0.8,30,11.0,0.20,0.3,0,0,0,,,,0,"Nama lain karu-karu. Seperti dadar gulung. Sagu yang dicampur parutan kelapa, pala bubuk, kenari, dan gula aren"
BP062,Serimping talas kebumen,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,4.8,478,2.5,21.2,69.2,1.7,2.3,112,118,2.3,,,,,0,,0,0.25,,,0,
BP063,Tapai singkong,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,57.4,169,1.4,0.3,40.2,2.0,0.7,21,34,0.8,,,,,0,0,0,0.00,,,9,Fermentasi singkong
BP064,Tepung Arrowroot,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,13.6,355,0.7,0.2,85.2,0.4,0.3,8,22,1.5,2,10.7,0.00,0.1,,20,3,0.09,0.00,0.0,0,Tepung dari arrowroot (umbi)
BP065,Tepung Ganyong,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,13.6,353,0.8,1.7,83.6,0.7,0.3,4,31,3.3,3,63.5,0.10,0.3,,0,0,0.02,0.00,0.9,1,Bahan dasar ganyong
BP066,Tepung Gaplek,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,13.0,345,2.4,0.4,83.1,6.7,1.1,18,95,1.5,6,55.0,0.40,1.2,,1,0,0.30,0.20,0.1,0,Bahan dasar dari gaplek (singkong dijemur)
BP067,"Tepung kentang, kering",Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,13.0,347,0.3,0.1,85.6,0.4,1.0,20,30,0.5,51,156.3,0.20,0.5,,0,0,0.04,0.00,0.4,0,
BP068,Tepung Mocaf,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,11.9,350,1.2,0.6,85.0,6.0,1.3,60,64,15.8,8,403.0,0.10,0.6,,0,0,0.02,0.02,0.7,2,Bahan dasar dari singkong
BP069,Tepung Sente,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,15.3,326,4.0,0.4,76.7,8.5,3.6,41,141,3.5,14,"1,602",0.40,1.4,,0,0,0.02,0.20,7.7,0,Bahan dasar dari talas
BP070,Tepung singkong/ Tapioka,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,9.1,363,1.1,0.5,88.2,0.9,1.1,84,125,1.0,1,7.1,0.00,0.1,,0,,0.04,0.00,0.4,0,
BP071,Tepung Tales Beneng,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,12.2,332,5.7,0.6,76.1,12.2,5.5,59,302,10.7,7,"1,404",0.80,6.2,,0,0,0.02,0.10,0.3,0,Bahan dasar dari gaplek (singkong dijemur)/ talas beneng
BP072,Tepung Ubi Ungu,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,9.4,354,2.8,0.6,84.4,12.9,2.8,89,125,3.9,42,940.0,0.80,0.6,,0,0,0.40,0.02,0.0,0,Bahan dasar ubi jalar ungu
BP073,Tiwul,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,11.2,353,2.4,1.1,83.4,6.5,1.6,55,95,4.7,5,670.0,0.20,0.8,,0,0,0.02,0.02,0.1,3,Berbahan dasar dari gaplek (singkong dijemur) ditambah tepung kacang hijau dan gula merah
BP074,Tiwul Instan,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,9.1,395,3.2,8.5,76.5,4.2,2.7,81,81,5.8,377,469.0,2.10,1.2,,0,0,0.40,0.20,0.2,4,
BP075,Ubi Cilembu,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,52.7,186,1.9,0.2,44.3,3.4,0.9,37,51,0.6,1,61.9,0.10,0.2,,26,0,0.02,0.20,0.0,0,
BP076,Uli batatas,Umbi Berpati,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,66.5,150,1.1,4.0,27.4,,1.0,,23,0.1,6,112.0,0.10,0.2,0,0,0,0.53,0.00,1.3,0,
CR001,"Kacang arab, kering (Chick pea, raw)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.6,330,23.8,1.4,60.2,17.4,3.0,57,388,4.7,24,874.3,0.85,3.4,,40,140,0.77,0.21,1.5,2,
CR002,"Kacang babi, kering (Broad bean, raw)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.6,341,30.4,3.2,51.3,4.5,3.5,178,521,6.8,13,"1,768",0.82,3.1,,,87,0.23,0.33,2.8,,
CR003,"Kacang belimbing (kecipir), kering (Winged bean, seed, raw)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,10.4,400,34.4,16.9,34.1,10.7,4.2,468,182,6.8,37,955.0,2.82,2.0,,,,0.30,0.44,3.0,,
CR004,"Kacang beracun, segar",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,72.1,118,4.4,1.5,21.6,,0.4,50,50,1.7,10,40.0,0.30,1.0,,,,0.43,,,,
CR005,"Kacang bogor, kering (Bambara groundnut, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,10.0,370,16.0,6.0,65.0,26.3,3.0,85,264,4.2,44,868.8,1.48,2.7,0,,,0.18,0.26,6.2,0,
CR006,"Kacang bogor, segar (Bambara groundnut, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,60.8,165,7.7,3.1,27.4,2.5,1.0,96,126,5.3,6,537.0,0.41,1.2,,29,,0.32,0.35,2.7,,
CR007,"Kacang endel, biji, kering",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,14.0,331,25.0,1.0,58.0,23.6,2.0,80,400,5.0,12,"1,322",0.68,2.7,0,,,0.30,0.75,2.3,,
CR008,"Kacang ercis, segar (Pea)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,67.6,129,12.4,0.7,18.3,28.6,1.0,40,130,2.3,4,310.0,0.30,2.1,,212,,0.29,0.05,2.7,,
CR009,"kacang galing, segar",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.0,336,23.1,1.7,59.5,,3.8,80,400,5.0,,,,,0,,,0.60,,,0,
CR010,"Kacang gude, biji, kering (Pigeon pea, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,16.1,316,20.7,1.0,58.0,4.6,4.2,146,445,4.7,16,"1,306",0.99,2.7,,19,,0.30,0.19,2.4,,
CR011,"Kacang gude, biji, segar (Pigeon pea, raw)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,70.3,114,7.0,0.6,20.8,4.4,2.3,3,122,1.5,4,480.5,0.12,0.9,,,70,0.37,0.07,0.8,43,
CR012,"Kacang hijau var. bakti, kering (Mung bean, raw)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,7.4,350,17.1,1.8,70.7,5.7,3.1,94,315,4.9,46,893.9,1.52,3.1,,171,235,0.40,0.27,2.6,11,
CR013,"Kacang hijau var. siwalik, kering (Mung bean, raw)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,8.8,339,20.8,2.1,64.6,7.4,3.7,122,136,4.9,45,880.4,1.50,3.1,,168,321,0.45,0.27,2.6,,
CR014,"Kacang hijau, kering (Mung bean, raw)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,15.5,323,22.9,1.5,56.8,7.5,3.3,223,319,7.5,42,815.7,1.90,2.9,,156,223,0.46,0.15,1.5,10,
CR015,"Kacang hitam, kering (Black turtle bean, raw)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.5,346,16.6,1.7,66.1,22.8,3.1,70,300,4.7,3,0.0,0.90,3.5,,28,,0.16,0.10,2.1,,
CR016,"Kacang kapri, segar (Pea)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,74.3,98,6.7,0.4,17.7,6.2,0.9,22,122,1.9,6,296.6,0.21,1.5,,,680,0.34,0.16,2.5,26,
CR017,"Kacang kedelai, kering (Soya bean, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.7,381,40.4,16.7,24.9,3.2,5.5,222,682,10.0,210,713.4,1.58,3.9,,237,31,0.52,0.12,1.2,,
CR018,"Kacang kedelai, segar (Soya bean, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,20.0,286,30.2,15.6,30.1,2.9,4.1,196,506,6.9,28,870.9,1.24,3.6,,,95,0.93,0.26,1.8,,
CR019,"Kacang kincai, kering",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,4.2,444,19.9,16.0,55.0,,4.9,26,,,,,,,,,,0.10,0.10,1.9,,
CR020,"Kacang komak, segar (Hyacinth bean, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,20.9,327,16.4,4.3,55.8,0.5,2.6,74,282,4.0,22,"1,137",0.90,2.1,,,,0.99,0.12,0.1,,
CR021,"Kacang kuning, kering (Soya bean)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.7,355,17.0,2.5,66.0,15.1,2.8,140,220,5.8,1,0.0,0.70,3.2,,58,,0.47,0.08,1.9,,
CR022,"Kacang lebui /iris, kering (Pigeon pea, raw)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.8,346,16.5,1.5,66.6,37.3,3.6,144,368,3.4,17,"1,225",1.50,3.3,,64,,0.62,0.20,0.0,,
CR023,"Kacang mentega, kering (Peanut butter fruit, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,13.7,344,16.7,2.1,64.6,13.0,2.9,110,300,6.7,1,10.0,0.70,2.5,,0,,0.21,0.07,1.2,,
CR024,"Kacang merah /banda, kering (Kidney bean, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,13.0,350,13.9,3.0,66.9,26.3,3.2,84,242,6.8,19,"1,127",0.00,42.0,,137,,0.15,0.76,0.3,,
CR025,"Kacang merah tua, kering (Dark red kidney bean, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.3,280,16.7,1.6,63.2,4.6,6.2,209,335,6.4,19,"1,348",0.69,2.8,,,,0.10,0.08,2.0,6,
CR026,"Kacang merah, kering (Kidney bean, kering)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,17.7,314,22.1,1.1,56.2,4.0,2.9,502,429,10.3,11,"1,265",0.65,2.6,,129,,0.40,0.72,2.2,,
CR027,"Kacang merah, segar (Kidney bean, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,57.2,171,11.0,2.2,28.0,2.1,1.7,293,134,3.7,7,360.7,0.34,1.4,,0,10,0.15,0.15,1.1,,
CR028,"Kacang mete/biji jambu monyet, segar (Cashew nut, mentah)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,4.6,616,16.3,48.4,28.7,0.9,2.0,26,521,3.8,26,692.0,4.70,4.1,,5,,0.64,0.03,0.0,,
CR029,"Kacang panjang, biji, kering (Yardlong bean, seeded, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.2,357,17.3,1.5,68.6,10.6,0.4,163,437,6.9,16,"1,109",0.35,2.8,0,"2,182",,0.57,0.98,7.1,2,
CR030,"Kacang tanah sangan (Groundnut, baked)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,1.2,560,29.5,43.0,24.1,2.9,2.2,107,366,4.1,34,509.8,1.69,2.1,,0,,0.31,0.30,15.5,,
CR031,"Kacang tanah sangan tanpa selaput (Groundnut, baked without husk)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,2.6,559,26.9,44.2,23.6,2.6,2.7,74,393,1.9,33,202.3,520.40,1.7,0,0,,0.30,29.47,8.0,0,
CR032,"Kacang tanah, kering (Groundnut, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,9.6,525,27.9,42.7,17.4,2.4,2.4,316,456,5.7,31,466.5,1.55,1.9,,0,30,0.44,0.27,1.4,,
CR033,"Kacang tolo / tunggak, kering (Cowpea, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,13.5,331,24.4,1.9,56.6,1.6,3.6,481,399,13.9,15,7.8,1.03,5.9,,65,,0.06,0.20,4.3,,
CR034,"Kacang tunis, kering",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,10.5,351,12.2,1.2,72.9,29.5,3.2,120,220,6.9,1,0.0,1.40,2.9,,,,0.57,0.13,2.5,,
CR035,"Kacang uci, kering",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,9.9,358,23.4,2.4,60.6,7.4,3.7,269,264,0.5,13,"1,457",0.35,,,20,,0.10,0.20,2.5,2,
CR036,"Kacang urei, kering (Rice bean )",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,12.8,354,12.8,1.8,69.3,26.1,3.3,220,220,5.1,1,0.0,0.70,3.1,,,,0.55,0.05,3.5,,
CR037,"Kenari banda, kering (Walnut, banda, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,13.0,616,13.9,56.2,13.7,,3.2,0,380,1.4,11,460.0,1.10,3.2,,90,,0.83,0.08,0.5,,
CR038,"Kenari, kering (Walnut, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,3.0,657,15.0,66.0,13.0,,3.0,92,691,7.7,3,505.8,0.97,3.0,0,,,0.42,0.09,0.5,0,
CR039,"Komak polong, segar (Hyacinth bean)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15,567.0,0.20,0.6,,5,,0.13,0.03,0.2,,
CR040,"Koro andong, kering (Jack bean, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,10.8,356,20.5,4.1,61.6,7.0,3.0,150,272,6.2,18,301.8,0.73,2.8,,0,,0.29,0.02,1.4,1,
CR041,"Koro benguk, biji, kering (Hyacinth bean, seaded,dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,15.0,332,24.0,3.0,55.0,5.6,3.0,30,200,2.0,42,389.2,1.25,8.7,,0,70,0.30,0.12,1.7,0,
CR042,"Koro kerupuk, biji, segar (Hyacinth bean, seeded, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,67.2,125,8.3,0.7,22.1,2.2,1.7,17,12,2.7,16,150.3,0.48,3.4,,0,80,0.11,0.04,1.1,31,
CR043,"Koro loke, biji, segar",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,88.6,33,2.7,0.2,7.9,3.5,0.6,60,40,2.0,2,38.6,0.09,0.4,,0,40,0.10,0.00,0.2,0,
CR044,"Koro roay, kering (Lima bean, dried)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,13.0,344,12.5,2.1,69.4,7.5,3.0,70,103,4.4,18,294.3,0.72,2.7,,0,28,0.11,0.21,1.4,1,
CR045,"Koro wedus, biji, kering (Hyacinth bean)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,11.8,338,22.2,1.5,61.0,5.8,3.5,88,395,3.5,43,403.8,1.30,9.1,0,0,,0.62,0.12,1.8,0,
CR046,"Lamtoro biji, muda, segar (White leadtree, inmature, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,77.4,85,5.7,0.3,15.4,10.8,1.2,180,53,2.7,35,485.7,0.02,1.4,,0,423,0.08,1.15,1.0,15,
CR047,"Lamtoro biji, tua, segar (White leadtree, mature, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,61.4,148,10.6,0.5,26.2,17.0,1.3,155,59,2.2,28,628.5,0.03,2.4,,,416,0.23,0.49,2.8,20,
CR048,Lamtoro var. gung tanpa kulit (White leadtree),Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,10.2,367,46.4,5.4,32.5,2.6,4.4,136,441,23.3,65,"1,462",0.07,5.6,,,"18,900",0.06,1.15,1.0,9,
CR049,Lamtoro var. lokal dengan kulit (White leadtree),Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,13.5,336,23.8,1.2,59.7,15.4,1.8,867,321,1.5,134,"1,858",0.07,5.4,,,321,0.15,1.34,0.9,16,
CR050,"Nangka, biji, segar (Jackfruit, seed, fresh)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,57.7,165,4.2,0.1,36.7,1.8,1.3,33,200,1.0,69,179.0,0.12,0.2,0,0,,0.20,0.03,1.4,10,
CR051,"Saga merah terkupas, kering (Red sandalwood, peeled)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,8.1,449,30.6,25.5,31.9,3.5,3.9,"1,062",161,14.2,66,"1,496",0.07,5.7,,,107,0.09,1.50,10.9,7,
CR052,"Wijen, kering (Sesame seed)",Kacang-Kacangan,Mentah (Raw),TKPI,https://www.panganku.org/id-ID/view,5.8,568,19.3,51.1,18.1,3.6,5.8,"1,125",614,9.5,18,303.7,4.16,7.9,,15,,0.93,0.20,5.7,0,
CP001,"Kacang belimbing, rebus",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,55.6,204,16.9,8.8,17.5,4.8,1.2,230,180,3.3,43,"1,098",3.24,2.3,,,,0.20,0.48,0.7,,
CP002,"Kacang bogor, goreng",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,3.0,479,12.7,23.2,58.9,1.2,2.2,135,184,2.9,,,,,,,,0.25,0.45,4.1,,
CP003,"Kacang bogor, rebus",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,61.2,161,7.7,2.8,27.1,2.0,1.2,56,134,1.4,,,,,,,,0.10,,,,
CP004,"Kacang gude, rebus",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,61.5,147,9.0,0.5,27.5,3.4,1.5,50,175,2.0,14,"1,126",0.80,2.7,,12,,0.10,0.07,13.2,,
CP005,"kacang hijau, rebus",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,71.3,109,8.7,0.5,18.3,1.5,1.2,95,149,1.5,447,657.8,1.40,2.8,,18,120,0.12,0.04,0.4,3,
CP006,"Kacang kedelai, goreng",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,9.6,521,32.2,37.7,22.9,7.6,3.7,296,800,6.5,"3,492","11,890",26.30,60.0,,,20,0.40,1.90,19.0,,
CP007,"Kacang kedelai, rebus",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,56.8,189,20.2,8.2,12.7,1.6,2.1,91,270,3.9,181,615.0,1.30,3.7,,4,15,0.20,0.04,0.5,0,
CP008,"Kacang merah kering, rebus",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,59.6,158,10.3,0.9,28.2,2.6,1.0,160,149,3.7,6,311.0,0.27,1.5,,,,0.20,0.09,0.8,,
CP009,"Kacang merah segar, rebus",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,63.1,144,10.0,1.0,24.7,3.5,1.2,144,150,2.8,6,311.0,0.27,1.5,,0,,0.10,0.08,0.7,,
CP010,"Kacang mete/biji jambu monyet, goreng",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,1.0,629,20.4,56.3,19.8,1.1,2.5,502,493,8.0,13,641.7,4.70,5.4,,5,,0.37,0.22,1.8,,
CP011,Kacang tanah rebus dg kulit,Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,40.2,360,13.5,31.2,12.8,,2.3,42,177,1.4,32,483.0,1.60,2.0,0,,,0.44,0.13,9.0,5,
CP012,"Kacang tanah, goreng",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,2.5,564,25.5,44.4,25.5,2.8,2.8,106,390,4.1,,,,,,,,0.40,,,,
CP013,"Kacang tanah, rebus",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,62.1,220,10.6,18.0,8.0,1.0,1.3,89,273,1.9,36,536.2,1.78,2.2,,,,0.10,,,0,
CP014,"Kacang tolo, rebus",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,64.4,138,10.7,1.1,22.6,0.9,1.2,165,172,4.0,13,6.7,0.80,6.1,,,,0.01,0.17,3.2,,
CP015,Ampas kacang hijau,Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,70.6,96,3.7,0.6,19.1,2.7,0.6,133,150,1.3,,,,,,,,0.05,,,,
CP016,"Ampas tahu, mentah",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,84.1,67,5.0,2.1,8.1,4.1,0.6,460,88,1.0,8,184.5,0.17,0.5,,0,,0.06,0.02,0.1,,
CP017,Ampas tahu kukus,Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,82.5,75,4.1,2.1,10.7,5.1,0.6,203,60,1.3,,,,,,0,,0.07,,,,
CP018,"Ampas tahu, kering",Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,9.0,414,26.6,18.3,41.3,0.0,5.8,19,29,4.0,45,"1,055",0.99,2.8,0,24,,0.20,0.10,0.5,0,
CP019,Pepea oncom ampas tahu,Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,80.9,76,5.2,1.8,10.6,2.2,1.5,215,66,12.5,,,,,,,268,0.11,,,,
CP020,Bungkil biji karet,Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,12.0,333,29.3,3.3,50.0,,29.4,102,660,12.0,,,,,0,,,0.10,,,0,
CP021,Bungkil kacang tanah,Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,14.0,336,37.4,13.0,30.5,,33.1,730,470,30.7,,,,,0,,,0.04,,,,
CP022,Bungkil kelapa,Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,16.0,368,23.0,15.0,40.0,,38.0,137,433,41.5,,,,,0,,,0.00,0.46,8.9,,
CP023,Dodol banjarmasin,Kacang-Kacangan,Olahan (Processed),TKPI,https://www.panganku.org/id-ID/view,17.3,368,2.6,8.6,70.0,0.5,1.5,51,180,3.3,48,96.0,0.40,2.6,0,0,0,0.04,0.07,2.3,0,"Nama lainnya adalah Dodol kandangan. Bahan dasar terdiri dari Gula pasir, agar-agar, susu kental manis, santan, kacang tanah"
