# Descriptive statistics only (count/mean/std of imputed values per nutrient x method). This is NOT an accuracy/error metric against ground truth - that comparison against held-out real values is Stage 4's responsibility, not this script's.
nutrient,method,count,mean,std
ash_g,crossdb,139,1.2373136690647484,1.4573378377584683
ash_g,knn,1380,2.2906434708580963,5.2254525151988345
ash_g,mean,1380,2.279008259826921,5.223487401616378
ash_g,median,1380,2.2615218115942026,5.227371916238998
ash_g,mice,1380,2.283655067802816,5.224900766359374
ash_g,missforest,1380,2.2797268391304346,5.225262377711598
ash_g,original,1285,2.3560207003891054,5.4053062731812025
beta_carotene_mcg,crossdb,37,0.03523513513513514,0.21432695974999433
beta_carotene_mcg,knn,1380,49.06094501566785,124.70756626405083
beta_carotene_mcg,mean,1380,56.676331418412715,119.91246014987244
beta_carotene_mcg,median,1380,34.50646934782608,121.76799604799322
beta_carotene_mcg,mice,1380,51.29883108099439,139.81086628629018
beta_carotene_mcg,missforest,1380,65.88122406086957,141.2106341273321
beta_carotene_mcg,original,716,64.71715041899442,163.39005454592328
calcium_mg,crossdb,67,129.06123880597013,626.2284757338077
calcium_mg,knn,1380,104.58453601557432,195.51784906877037
calcium_mg,mean,1380,111.78740159468792,191.64708436195932
calcium_mg,median,1380,96.06541739130435,194.28480702981776
calcium_mg,mice,1380,108.47150025842554,192.1105471887905
calcium_mg,missforest,1380,104.11124241304348,192.89077760086718
calcium_mg,original,1173,109.44840238704177,207.76726453173208
carbohydrate_g,crossdb,109,33.73541376146789,23.59379401831741
carbohydrate_g,knn,1380,25.9826645610956,24.545133739640928
carbohydrate_g,mean,1380,25.45310639143731,24.011813493774333
carbohydrate_g,median,1380,25.111429420289852,23.918116289619466
carbohydrate_g,mice,1380,23.698927616207026,27.93729992074196
carbohydrate_g,missforest,1380,25.8958715884058,24.416146530551757
carbohydrate_g,original,1255,24.628175378486056,25.030404681501892
carotene_total_mcg,crossdb,234,112.34793145299145,188.70486198582617
carotene_total_mcg,knn,607,96.83625864909389,187.8383003054426
carotene_total_mcg,mean,607,96.83625864909389,187.8383003054426
carotene_total_mcg,median,607,96.83625864909389,187.8383003054426
carotene_total_mcg,mice,607,96.83625864909389,187.8383003054426
carotene_total_mcg,missforest,607,96.83625864909389,187.8383003054426
carotene_total_mcg,original,607,96.83625864909389,187.8383003054426
copper_mg,crossdb,49,4.089140816326531,28.617073781470612
copper_mg,knn,1380,3.9327597826086955,26.633221896630094
copper_mg,mean,1380,4.304709204321598,25.123665668559763
copper_mg,median,1380,2.701321304347826,25.207012997983686
copper_mg,mice,1380,3.9989024148979704,25.305316490790474
copper_mg,missforest,1380,3.4169360608695647,25.589616574623708
copper_mg,original,844,4.33365509478673,32.13282141998791
edible_portion_percent,crossdb,0,,
edible_portion_percent,knn,0,,
edible_portion_percent,mean,0,,
edible_portion_percent,median,0,,
edible_portion_percent,mice,0,,
edible_portion_percent,missforest,0,,
edible_portion_percent,original,0,,
energy_kcal,crossdb,105,237.1725923809524,151.6380184672675
energy_kcal,knn,1380,209.08892383091788,158.4805786373842
energy_kcal,mean,1380,205.0133236356108,154.4060896723677
energy_kcal,median,1380,203.6280419565217,154.1774951440172
energy_kcal,mice,1380,206.97713497829568,155.23491132606725
energy_kcal,missforest,1380,207.65129928695652,157.32321037927218
energy_kcal,original,1251,201.69714004796165,161.81445956128385
fat_g,crossdb,151,12.240682781456954,19.144237586925072
fat_g,knn,1380,8.573453243689412,15.207019509105173
fat_g,mean,1380,8.21014995103839,14.107079078930937
fat_g,median,1380,7.792606521739131,14.084484846132252
fat_g,mice,1380,8.390274502921052,14.348469509549831
fat_g,missforest,1380,8.03623884347826,14.10247399851905
fat_g,original,1296,7.952656712962963,14.519309258455555
fiber_g,crossdb,139,4.722020863309353,6.068435635538825
fiber_g,knn,1380,3.130637030653738,4.49963700285696
fiber_g,mean,1380,3.084341258020611,4.256793479446134
fiber_g,median,1380,2.7561078985507246,4.2736939013537665
fiber_g,mice,1380,2.9700787168366327,4.3050314873840385
fiber_g,missforest,1380,3.4286845304347824,4.779061593823894
fiber_g,original,1064,3.0075760338345865,4.820592110715412
iron_mg,crossdb,48,7.13278125,43.77545555479282
iron_mg,knn,1380,3.590282392210145,10.304424302262476
iron_mg,mean,1380,4.015257010647838,9.693996560055771
iron_mg,median,1380,3.0796797101449274,9.67207091093347
iron_mg,mice,1380,3.5229551946148505,9.640009551599476
iron_mg,missforest,1380,3.198401936231884,9.663527035359685
iron_mg,original,1151,3.535250651607298,10.529428923090501
niacin_mg,crossdb,10,4.4452300000000005,8.448952717092615
niacin_mg,knn,1380,2.474027702898551,4.70466905896822
niacin_mg,mean,1380,2.4026890996713544,4.453786190162322
niacin_mg,median,1380,1.4445376086956523,4.418354481532704
niacin_mg,mice,1380,3.5810067043171707,11.601175122648975
niacin_mg,missforest,1380,2.9370373304347828,5.228892738149776
niacin_mg,original,817,2.015731089351285,5.670519797450009
phosphorus_mg,crossdb,107,424.12282710280374,3179.108317957424
phosphorus_mg,knn,1380,177.48128103480968,914.2285694633783
phosphorus_mg,mean,1380,193.2787300859043,898.5161720929235
phosphorus_mg,median,1380,158.63710688405797,896.0907791892888
phosphorus_mg,mice,1380,197.88508506977738,900.1717642400716
phosphorus_mg,missforest,1380,167.3968400347826,896.3938471022147
phosphorus_mg,original,1213,170.66391384995876,955.1981031313815
potassium_mg,crossdb,73,564.6561438356164,2705.189135260568
potassium_mg,knn,1380,264.55561751300377,662.8551524817677
potassium_mg,mean,1380,293.2324689824702,650.474826614383
potassium_mg,median,1380,231.86503876811594,644.852175981435
potassium_mg,mice,1380,278.4087901533032,650.9340693271695
potassium_mg,missforest,1380,269.433491242029,648.5375292670249
potassium_mg,original,896,264.4400150669643,797.9604810180273
protein_g,crossdb,150,5.970124666666666,9.213092501267111
protein_g,knn,1380,9.052344759903383,11.036041632736094
protein_g,mean,1380,9.04592981579647,10.998241234171156
protein_g,median,1380,8.885955579710146,11.059562623658254
protein_g,mice,1380,8.91475710893171,11.0653056918327
protein_g,missforest,1380,9.105271588405797,11.018274276541087
protein_g,original,1295,9.244956525096525,11.324880175897704
retinol_mcg,crossdb,38,0.02664736842105263,0.10076945251640099
retinol_mcg,knn,1380,50.27274524713959,115.63487227563269
retinol_mcg,mean,1380,46.77911525216037,98.56327400754347
retinol_mcg,median,1380,22.081935217391305,100.12367940063622
retinol_mcg,mice,1380,43.40482884123124,116.37766765272332
retinol_mcg,missforest,1380,55.33916345797102,137.1426684756009
retinol_mcg,original,579,52.630519170984456,149.35398788613892
sodium_mg,crossdb,64,1772.613065625,12754.49105826777
sodium_mg,knn,1380,274.7608124750906,2822.9864286959055
sodium_mg,mean,1380,396.0967825699477,2800.3069234637437
sodium_mg,median,1380,165.34256971014491,2753.487675925821
sodium_mg,mice,1380,344.758083110104,2780.4805968969818
sodium_mg,missforest,1380,218.21998873478262,2753.388503313497
sodium_mg,original,928,229.34422327586205,3356.4783125349513
vitamin_a_mcg,crossdb,0,,
vitamin_a_mcg,knn,0,,
vitamin_a_mcg,mean,0,,
vitamin_a_mcg,median,0,,
vitamin_a_mcg,mice,0,,
vitamin_a_mcg,missforest,0,,
vitamin_a_mcg,original,0,,
vitamin_b1_mg,crossdb,10,0.15764,0.2711819897330122
vitamin_b1_mg,knn,1380,0.3762350144927536,5.495022165529993
vitamin_b1_mg,mean,1380,0.35932802531437497,5.388967058081687
vitamin_b1_mg,median,1380,0.3262153623188406,5.389887087394474
vitamin_b1_mg,mice,1380,0.31375021160532834,5.422668186125247
vitamin_b1_mg,missforest,1380,0.34770635797101446,5.389754709139795
vitamin_b1_mg,original,1068,0.39823632958801497,6.125569355071907
vitamin_b2_mg,crossdb,10,0.6253299999999999,1.6611411599994879
vitamin_b2_mg,knn,1380,0.2430710797101449,0.9479643618676059
vitamin_b2_mg,mean,1380,0.2821781981647367,0.8484108171680903
vitamin_b2_mg,median,1380,0.1669881884057971,0.8369700626662048
vitamin_b2_mg,mice,1380,0.20244832021174466,0.8428207514811421
vitamin_b2_mg,missforest,1380,0.3034171536231884,0.8752781510926472
vitamin_b2_mg,original,806,0.21723734491315136,1.09266969321336
vitamin_c_mg,crossdb,27,3.426462962962963,3.493943643610948
vitamin_c_mg,knn,1380,9.308103496511004,21.31072822214987
vitamin_c_mg,mean,1380,10.235176660804175,20.83957665751611
